"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.922026625E0,4.029825628E-1,-7.596857548E-1,1.707396030E0
3.932706625E0,3.465046883E-1,-5.726585388E-1,1.582871675E0
3.943387625E0,1.114219278E-1,-4.485392272E-1,1.466324806E0
3.954070625E0,-2.801111937E-1,-3.712124527E-1,1.330752730E0
3.964751625E0,-6.656138897E-1,-3.159494698E-1,1.180482030E0
3.975431625E0,-9.530605674E-1,-2.783437669E-1,1.085100651E0
3.986132625E0,-1.147592425E0,-2.340676337E-1,1.028870940E0
3.996821625E0,-1.270905256E0,-1.516009867E-1,1.012069345E0
4.007506625E0,-1.308582425E0,-7.751717418E-2,1.000400662E0
4.018187625E0,-1.267208576E0,-1.734277979E-2,9.160317779E-1
4.028868625E0,-1.205255508E0,-5.164165050E-2,7.680302858E-1
4.039549625E0,-1.076499343E0,-1.278533190E-1,6.058546901E-1
4.050230625E0,-8.553109169E-1,-1.792336255E-1,4.499939680E-1
4.060912625E0,-5.876669288E-1,-2.470408678E-1,2.911677957E-1
4.071593625E0,-3.188554347E-1,-3.333696127E-1,1.091803834E-1
4.082267125E0,-1.432322115E-1,-4.092848599E-1,-1.228898615E-1
4.092946125E0,-4.848678410E-2,-4.162162840E-1,-2.906943262E-1
4.103629125E0,3.162376583E-2,-3.347475231E-1,-4.010250866E-1
4.114310125E0,1.684495211E-1,-1.772260815E-1,-4.571168423E-1
4.124994125E0,3.346547186E-1,-5.867646541E-3,-5.317732692E-1
4.135673125E0,4.763863087E-1,1.234429404E-1,-6.025587320E-1
4.146354125E0,5.725845695E-1,1.648984998E-1,-6.863367558E-1
4.157035125E0,6.497616172E-1,1.578611135E-1,-8.271700144E-1
4.167716125E0,6.518219113E-1,1.357875615E-1,-1.018315554E0
4.178396125E0,6.180205941E-1,2.059392482E-1,-1.262511969E0
4.189078125E0,5.766775012E-1,3.374120891E-1,-1.483426094E0
